No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Brad Wanamaker,PG,3-Jun,210,July 25 1989,us,1,Pitt
12,Grant Williams,PF,6-Jun,236,November 30 1998,us,R,Tennessee
37,Semi Ojeleye,PF,6-Jun,235,December 5 1994,us,2,Duke SMU
0,Jayson Tatum,PF,8-Jun,204,March 3 1998,us,2,Duke
27,Daniel Theis,C,8-Jun,215,April 4 1992,de,2,
36,Marcus Smart,SG,3-Jun,227,March 6 1994,us,5,Oklahoma State
7,Jaylen Brown,SF,6-Jun,223,October 24 1996,us,3,California
11,Enes Kanter,C,10-Jun,262,May 20 1992,ch,8,
8,Kemba Walker,PG,Jun-00,172,May 8 1990,us,8,UConn
20,Gordon Hayward,SF,7-Jun,207,March 23 1990,us,9,Butler
43,Javonte Green,SF,4-Jun,220,July 23 1993,us,R,Radford
4,Carsen Edwards,SG,11-May,200,March 12 1998,us,R,Purdue
45,Romeo Langford,SG,4-Jun,216,October 25 1999,us,R,Indiana
44,Robert Williams,C,8-Jun,237,October 17 1997,us,1,Texas A&M
77,Vincent Poirier,C,Jul-00,235,October 17 1993,fr,R,
51,Tremont Waters  (TW),PG,10-May,175,January 10 1998,us,R,LSU
99,Tacko Fall  (TW),C,5-Jul,311,December 10 1995,sn,R,Central Florida
