Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Charlotte Hornets,65,242.3,41.7,87.5,0.476,12.4,35.1,0.352,29.3,52.5,0.558,14,18.4,0.758,10.9,35,46,26.6,8,5,14.4,20.6,109.6
2,Chicago Bulls,65,241.2,39.5,82.5,0.479,11.2,31.6,0.353,28.3,50.9,0.557,19.7,26,0.759,10.2,35.4,45.5,25.4,8.2,5.9,18.3,19.2,109.9
3,Toronto Raptors*,68,241.5,37.9,88.4,0.428,13,38.8,0.335,24.9,49.7,0.501,17.6,23,0.768,11,35.1,46.1,25.6,7.1,5.4,16.7,20.2,106.4
4,Los Angeles Lakers*,68,240.7,38.7,87.2,0.443,11.4,33.4,0.343,27.2,53.8,0.506,18.1,23.2,0.781,9.4,32.9,42.4,23.1,8.2,3.8,15.9,21.9,106.9
5,Detroit Pistons,66,241.9,41.9,87.3,0.48,10.7,29.6,0.361,31.3,57.8,0.541,16.2,20.9,0.777,10.1,33.4,43.5,24.6,8.2,5.6,14,19.8,110.8
6,Oklahoma City Thunder*,68,241.8,40.9,89.7,0.456,11.2,33,0.339,29.7,56.7,0.524,15.1,19.1,0.794,10.5,34.1,44.5,22.9,6.8,4.1,14,22.9,108.1
7,Boston Celtics*,69,241.8,38.5,86.8,0.443,11.9,34.8,0.341,26.6,52,0.512,18.6,24.2,0.765,10.1,33.9,44.1,22.3,7.1,5.5,15.3,20.7,107.3
8,New York Knicks,66,241.9,39.9,86,0.463,13.3,34.9,0.381,26.6,51.1,0.52,19.2,25.7,0.749,9.6,34.6,44.2,24.3,7.2,5,13.7,19.8,112.3
9,Indiana Pacers*,69,241.4,39.6,88.2,0.449,11.4,33.1,0.344,28.2,55.2,0.512,17,21.5,0.79,10.3,34.7,45,23.2,6.8,4.5,14.5,18.9,107.6
10,Philadelphia 76ers*,69,241.1,39.7,85.9,0.462,10.2,28.9,0.354,29.4,57,0.517,18.2,24.3,0.746,8.7,33.3,42,22.6,7,3.9,14,20.6,107.8
11,Milwaukee Bucks*,69,240.7,38.7,93.7,0.413,14,39.3,0.356,24.7,54.4,0.454,16.5,21,0.789,9.4,36.1,45.4,23.8,7.5,4.5,14.2,21.6,107.9
12,Los Angeles Clippers*,68,241.1,39.3,90.1,0.437,12.1,35.3,0.342,27.2,54.8,0.497,18.9,24.8,0.76,10.8,34.6,45.4,23.6,7.7,4.7,14.1,22.8,109.6
13,Cleveland Cavaliers,65,241.9,43.9,89.4,0.491,12.4,33,0.375,31.5,56.4,0.558,14.7,19.2,0.767,9.7,33.1,42.9,26.1,9.4,6.3,13,19.6,114.8
14,Utah Jazz*,69,240.4,40.5,89.1,0.454,11,31.2,0.352,29.5,57.8,0.509,16.3,21.2,0.768,9.6,33.1,42.7,21.2,7.9,4.5,12.4,20.8,108.2
15,Denver Nuggets*,69,242.5,39.7,86.2,0.46,11.8,33.6,0.353,27.8,52.7,0.528,17.1,22.5,0.762,10,32.6,42.6,25.1,7.1,4.5,14.2,20.2,108.3
16,Golden State Warriors,65,241.9,42.2,88.6,0.476,13.5,34.8,0.389,28.7,53.8,0.533,17.1,21.9,0.783,10.2,36.3,46.5,26.1,8.2,4.9,15.6,20.1,115
17,Minnesota Timberwolves,64,243.1,43.1,90.4,0.477,11.6,31.9,0.363,31.6,58.5,0.539,19.7,25.2,0.783,10.1,37.2,47.3,24.4,7.8,5.5,15.5,21.6,117.5
18,Miami Heat*,69,243.3,38.7,86.6,0.447,13.1,37.8,0.347,25.6,48.8,0.526,18.6,23.7,0.783,9.1,33,42.1,24.6,7.5,4.2,13.9,21.7,109.1
19,Orlando Magic,70,240.4,40.3,86.6,0.465,12.3,33.4,0.367,28,53.3,0.526,15.1,19.6,0.769,9,35.8,44.8,24.6,7,4.6,14.6,19.4,107.8
20,Sacramento Kings,69,242.5,40.1,85.3,0.47,12.4,34.6,0.357,27.7,50.7,0.546,19.3,24.5,0.79,9.1,34.5,43.6,24.9,7.7,4.3,15.1,19.6,111.8
21,Brooklyn Nets*,69,242.9,41.4,92.9,0.445,12.2,34.9,0.351,29.1,58,0.502,17.2,22.5,0.765,10.6,35.5,46,22.7,7.6,5.4,12.8,21.1,112.2
22,Houston Rockets*,68,241.5,42.2,91.5,0.461,12.2,35.1,0.347,30,56.5,0.532,18,23.8,0.757,11.3,36.4,47.7,25.1,7.9,4.9,16.1,21,114.6
23,San Antonio Spurs,68,242.6,42.3,89.9,0.471,13.1,34.8,0.376,29.3,55.1,0.531,17.5,22.7,0.774,9.3,36.1,45.4,25.8,6.8,4.3,13.1,19.9,115.3
24,Phoenix Suns,69,241.1,41.3,87.3,0.473,11.6,31.9,0.364,29.7,55.4,0.536,19.5,24.8,0.786,9.1,34.4,43.6,23.6,8,5.5,15.8,22.8,113.7
25,Dallas Mavericks*,71,242.1,41.7,91.5,0.456,12,34.5,0.348,29.7,57,0.521,15.8,20.8,0.759,10.5,34.9,45.4,23.8,7.1,4.1,12.1,21.3,111.2
26,Memphis Grizzlies,70,240.7,40.7,90.5,0.449,12.8,35.2,0.365,27.8,55.3,0.503,19.6,25,0.784,10.5,34.5,44.9,24.8,7.9,5.3,14.6,20,113.8
27,Atlanta Hawks,67,243,43.3,90.7,0.478,11.9,32.7,0.363,31.4,58,0.542,21.2,27.4,0.772,11.2,35.9,47,25,9,6.4,15,21,119.7
28,New Orleans Pelicans,69,242.2,42.7,92,0.464,12.2,34.1,0.358,30.5,57.9,0.527,19.3,24.6,0.785,10,34.9,44.9,24.5,8.6,4.8,14.4,21,116.9
29,Portland Trail Blazers,70,241.1,41.5,91.7,0.453,13.4,35.4,0.379,28.1,56.3,0.498,19.1,24.7,0.771,11.6,35.4,47,24.8,6.9,5,12.8,20,115.5
30,Washington Wizards,69,241.1,43.2,88.5,0.489,12.3,33,0.375,30.9,55.5,0.556,20.6,26.5,0.778,10.5,35.6,46.1,25.2,7.5,5.1,16.2,22.3,119.4
,League Average,68,241.7,40.8,88.8,0.46,12.2,34,0.357,28.7,54.8,0.523,17.8,23.1,0.772,10.1,34.7,44.8,24.3,7.6,4.9,14.5,20.7,111.6
