Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks*,71,242.1,41.5,90.2,0.46,15.2,41.5,0.366,26.3,48.6,0.541,18.5,23.9,0.774,10.7,36.5,47.2,24.5,6.2,4.9,12.8,19.3,116.7
2,Milwaukee Bucks*,69,240.7,43.4,90.9,0.478,13.7,38.8,0.354,29.7,52.1,0.57,18.1,24.3,0.745,9.5,42.3,51.8,25.9,7.3,6,15.1,19.4,118.7
3,Houston Rockets*,68,241.5,41,90.7,0.452,15.7,44.9,0.349,25.4,45.8,0.553,20.6,26.2,0.787,10.1,34.4,44.5,21.7,8.6,5.2,14.5,21.9,118.4
4,Portland Trail Blazers,70,241.1,42,90.9,0.462,12.8,33.9,0.378,29.2,57.1,0.511,17.5,21.9,0.799,10.2,35.3,45.4,20.6,6.2,6.2,13,21.6,114.3
5,New Orleans Pelicans,69,242.2,42.5,91.8,0.463,13.8,37.2,0.371,28.7,54.6,0.526,17,23.5,0.726,11.1,35.6,46.8,26.9,7.5,5,16.4,21.1,115.9
6,Washington Wizards,69,241.1,41.7,90.9,0.459,12.1,32.6,0.371,29.7,58.3,0.509,19.3,24.6,0.788,10,31.8,41.8,25.1,8,4.3,14.1,22.8,114.9
7,Los Angeles Clippers*,68,241.1,41.5,89.4,0.465,12.4,33.3,0.371,29.2,56,0.521,20.8,26.2,0.792,10.7,37,47.7,23.7,7,4.9,14.6,22.1,116.2
8,Memphis Grizzlies,70,240.7,42.7,90.9,0.47,10.9,31.3,0.348,31.8,59.6,0.533,16.5,21.6,0.764,10.3,36.2,46.5,26.8,7.9,5.5,15.2,21.2,112.8
9,Boston Celtics*,69,241.8,41.3,89.4,0.461,12.6,34.4,0.366,28.7,55,0.521,18.6,23.3,0.8,10.6,35.3,45.9,22.8,8.3,5.6,13.7,21.6,113.8
10,Phoenix Suns,69,241.1,40.9,88,0.465,11.2,31.8,0.354,29.7,56.2,0.528,19.8,23.9,0.83,9.7,33.5,43.2,27.1,7.7,3.9,15,22.2,112.9
11,Miami Heat*,69,243.3,39.4,84.1,0.469,13.5,35.2,0.383,26,48.9,0.53,19.9,25.4,0.783,8.5,35.8,44.3,26,7.4,4.4,14.9,20.6,112.3
12,San Antonio Spurs,68,242.6,42.2,89.5,0.471,10.7,28.5,0.374,31.5,61,0.517,18.8,23.2,0.809,8.9,35.4,44.4,24.7,7.2,5.5,12.4,19.3,113.8
13,Los Angeles Lakers*,68,240.7,42.2,88.1,0.479,10.9,31.5,0.346,31.4,56.6,0.553,17.8,24.4,0.73,10.5,35.5,46,25.4,8.6,6.7,15.2,20.9,113.2
14,Brooklyn Nets*,69,242.9,40.1,90.3,0.445,13,38.1,0.34,27.2,52.2,0.521,18,24.2,0.745,10.7,37.3,48,24.3,6.4,4.5,15.3,20.9,111.3
15,Toronto Raptors*,68,241.5,40.2,88,0.457,13.7,36.9,0.372,26.5,51.1,0.519,18.4,22.9,0.803,9.4,35.8,45.2,25.2,8.7,4.9,14.6,21.5,112.6
16,Denver Nuggets*,69,242.5,41.9,88.8,0.472,10.9,30.4,0.357,31.1,58.4,0.532,16.1,20.7,0.776,10.8,33.4,44.2,26.6,8.1,4.6,13.8,20.4,110.9
17,Utah Jazz*,69,240.4,39.9,84.7,0.471,13.1,34.6,0.379,26.8,50,0.535,17.9,23,0.779,9,36,44.9,22.1,6.1,4,15.1,20.2,110.9
18,Philadelphia 76ers*,69,241.1,40.9,87.8,0.465,11.4,31.4,0.362,29.5,56.4,0.523,16.9,22.5,0.753,10.5,35,45.5,25.7,8.1,5.3,14.2,20.8,110
19,Sacramento Kings,69,242.5,40.7,88.3,0.46,12.6,34.8,0.363,28,53.5,0.523,15.7,20.5,0.768,9.7,32.9,42.6,23.5,7.7,4.1,14.3,22.3,109.7
20,Indiana Pacers*,69,241.4,42.2,88.4,0.478,10,27.7,0.362,32.2,60.7,0.53,15.1,19.1,0.789,8.7,33.8,42.5,25.9,7.2,5.2,13,19.6,109.6
21,Oklahoma City Thunder*,68,241.8,40.1,85.1,0.471,10.4,29.5,0.353,29.6,55.6,0.533,19.9,24.9,0.798,8.1,34.6,42.8,21.7,7.7,5,13.6,19.1,110.4
22,Atlanta Hawks,67,243,40.6,90.6,0.449,12,36.1,0.333,28.6,54.5,0.525,18.5,23.4,0.79,9.9,33.4,43.3,24,7.8,5.1,16.2,23.1,111.8
23,Orlando Magic,70,240.4,39.3,88.6,0.444,11,32.2,0.341,28.3,56.3,0.502,17.3,22.4,0.772,10.3,34.2,44.5,24.1,8.2,5.5,12.8,18.1,106.9
24,Minnesota Timberwolves,64,243.1,40.4,91.6,0.441,13.3,39.7,0.336,27.1,52,0.521,19.1,25.4,0.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3
25,Detroit Pistons,66,241.9,39.3,85.7,0.459,12,32.7,0.367,27.3,53,0.515,16.6,22.4,0.743,9.8,32,41.7,24.1,7.4,4.5,15.3,19.7,107.2
26,New York Knicks,66,241.9,40,89.3,0.447,9.6,28.4,0.337,30.4,61,0.499,16.3,23.5,0.694,12,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8
27,Cleveland Cavaliers,65,241.9,40.3,87.9,0.458,11.2,31.8,0.351,29.1,56.1,0.519,15.1,19.9,0.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9
28,Chicago Bulls,65,241.2,39.6,88.6,0.447,12.2,35.1,0.348,27.4,53.5,0.511,15.5,20.5,0.755,10.5,31.4,41.9,23.2,10,4.1,15.5,21.8,106.8
29,Golden State Warriors,65,241.9,38.6,88.2,0.438,10.4,31.3,0.334,28.2,56.9,0.495,18.7,23.2,0.803,10,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3
30,Charlotte Hornets,65,242.3,37.3,85.9,0.434,12.1,34.3,0.352,25.2,51.6,0.489,16.2,21.6,0.748,11,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9
,League Average,68,241.7,40.8,88.8,0.46,12.2,34,0.357,28.7,54.8,0.523,17.8,23.1,0.772,10.1,34.7,44.8,24.3,7.6,4.9,14.5,20.7,111.6
