Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG% (O),TOV% (O),ORB% (O),FT/FGA (O),eFG% (D),TOV% (D),DRB% (D),FT/FGA (D),Arena,Attend.,Attend./G
1,Milwaukee Bucks*,29.2,55,14,55,14,10.84,-0.72,10.12,112.7,102.4,10.3,105.1,0.268,0.426,0.584,0.554,12.9,20.8,0.2,0.488,12.1,81.9,0.176,Fiserv Forum,549036,17711
2,Los Angeles Clippers*,27.4,46,22,47,21,6.63,0.29,6.92,113.8,107.3,6.5,101.6,0.294,0.373,0.576,0.534,12.7,23.7,0.233,0.504,12.2,77.4,0.209,STAPLES Center,610176,19068
3,Los Angeles Lakers*,29.5,51,17,47,21,6.28,0.58,6.86,111.7,105.5,6.2,101,0.277,0.357,0.572,0.541,13.3,24.2,0.202,0.509,14,79,0.208,STAPLES Center,588907,18997
4,Boston Celtics*,25.3,46,23,48,21,6.41,-0.32,6.08,113.5,107.1,6.4,99.5,0.26,0.385,0.57,0.532,12.1,23.8,0.208,0.512,13.6,77.7,0.214,TD Garden,610864,19090
5,Toronto Raptors*,26.6,49,19,47,21,6.18,-0.4,5.78,111.1,105,6.1,100.7,0.26,0.419,0.574,0.535,13,21.1,0.209,0.502,14.5,76.5,0.2,Scotiabank Arena,633456,19796
6,Dallas Mavericks*,26.1,41,30,47,24,5.46,-0.17,5.3,116.5,111,5.5,99.3,0.265,0.46,0.58,0.545,11.3,23.5,0.205,0.521,10.7,77.7,0.172,American Airlines Center,682096,20062
7,Houston Rockets*,29.2,43,25,42,26,3.76,0.25,4.02,113.7,110.1,3.6,103.5,0.289,0.495,0.579,0.539,12.4,21.7,0.227,0.528,13.6,75.3,0.197,Toyota Center,578458,18077
8,Miami Heat*,25.9,43,26,41,28,3.16,-0.37,2.79,112.8,109.7,3.1,98.2,0.302,0.418,0.589,0.549,13.6,20.4,0.236,0.523,12.5,79.7,0.215,AmericanAirlines Arena,629771,19680
9,Utah Jazz*,27.4,43,26,40,29,2.64,0.06,2.7,112.1,109.4,2.7,98.7,0.272,0.409,0.585,0.549,13.8,21.3,0.212,0.516,11.2,78.9,0.183,Vivint Smart Home Arena,567486,18306
10,Oklahoma City Thunder*,25.5,42,26,39,29,2.28,0.4,2.68,111.2,108.9,2.3,98.6,0.293,0.347,0.575,0.532,12.4,19.2,0.234,0.518,12.5,76.8,0.169,Chesapeake Energy Arena,600699,18203
11,Denver Nuggets*,25.6,45,24,40,29,2.55,0.03,2.58,112.9,110.3,2.6,97.2,0.233,0.343,0.566,0.533,12.3,24.9,0.181,0.529,12.9,77,0.199,Pepsi Center,633153,19186
12,Philadelphia 76ers*,26.4,42,27,39,30,2.26,-0.17,2.09,110.7,108.4,2.3,98.9,0.256,0.358,0.563,0.53,12.7,23.9,0.193,0.522,12.6,80.2,0.211,Wells Fargo Center,639491,20629
13,Indiana Pacers*,25.6,42,27,39,30,2.01,-0.48,1.54,110.5,108.5,2,98.6,0.217,0.313,0.566,0.535,11.8,20,0.171,0.514,13,76.7,0.193,Bankers Life Fieldhouse,529002,16531
14,New Orleans Pelicans,25.4,30,39,32,37,-1.04,0.97,-0.08,110.6,111.6,-1,103.8,0.256,0.405,0.567,0.538,13.8,24.2,0.186,0.53,12.3,78,0.21,Smoothie King Center,528172,16505
15,Phoenix Suns,24.7,30,39,33,36,-0.83,0.32,-0.51,110.8,111.6,-0.8,101.5,0.272,0.361,0.573,0.529,13.2,22,0.226,0.54,13.8,78.6,0.223,Talking Stick Resort Arena,550633,15606
16,Portland Trail Blazers,27.5,32,38,32,38,-1.24,0.5,-0.74,113.1,114.3,-1.2,100.6,0.241,0.372,0.568,0.532,11.4,22.3,0.192,0.526,11.1,75.3,0.208,Moda Center,628303,19634
17,Orlando Magic,26.1,32,38,33,37,-0.93,0.11,-0.82,108.4,109.3,-0.9,98.5,0.253,0.364,0.543,0.506,11.5,22.3,0.196,0.535,13.3,79.2,0.174,Amway Center,529870,17093
18,San Antonio Spurs,27.7,30,38,31,37,-1.47,0.51,-0.98,112.4,113.8,-1.4,100.2,0.259,0.319,0.571,0.531,11,19.8,0.209,0.543,11.6,79.2,0.195,AT&T Center,550515,18351
19,Memphis Grizzlies,24,33,37,33,37,-0.96,-0.05,-1.01,109.5,110.4,-0.9,102.7,0.238,0.345,0.562,0.53,13.2,23,0.181,0.52,12.6,77.6,0.217,FedEx Forum,523297,15857
20,Brooklyn Nets*,26.4,33,36,33,36,-0.88,-0.46,-1.34,108.4,109.3,-0.9,101.4,0.268,0.422,0.551,0.517,13.1,23.2,0.2,0.511,11.1,77.9,0.185,Barclays Center,524907,16403
21,Sacramento Kings,27.1,29,40,30,39,-2.17,0.42,-1.76,110,112.2,-2.2,98.7,0.232,0.394,0.563,0.532,12.8,21.9,0.178,0.542,13.6,78.4,0.226,Golden 1 Center,520663,16796
22,Minnesota Timberwolves,24.8,19,45,24,40,-4.3,0.41,-3.89,108.1,112.2,-4.1,103.4,0.277,0.433,0.551,0.514,13,22.1,0.209,0.541,13.2,77.2,0.218,Target Center,482112,15066
